Matrix Name,Rows,Columns,NumBlocks,TotalElements,Non-Zero Elements,MemoryBytes,Memory Size (MB)
roadNet-PA.mtx,1090920,1090920,34092,4573192,3083796,55969264,53.38
Cube_Coup_dt0.mtx,2164760,2164760,67649,130114528,124406070,1563539120,1491.11
mcfe.mtx,765,765,24,42549,24382,511372,0.49
mac_econ_fwd500.mtx,206500,206500,6454,4631368,1273389,55782960,53.20
cant.mtx,62451,62451,1952,4550643,4007383,54670196,52.14
west2021.mtx,2021,2021,64,21308,7310,257760,0.25
cavity10.mtx,2597,2597,82,148951,76171,1790052,1.71
cop20k_A.mtx,121192,121192,3788,3123448,2624331,37602608,35.86
PR02R.mtx,161070,161070,5034,10657940,8185136,128056384,122.12
webbase-1M.mtx,1000005,1000005,31251,9828682,3105536,118944232,113.43
mhd4800a.mtx,4800,4800,150,158336,102252,1904848,1.82
af_1_k101.mtx,503625,503625,15739,16805408,16739943,202168560,192.80
bcsstk17.mtx,10974,10974,343,569530,428650,6845352,6.53
olafu.mtx,16146,16146,505,1182248,1015156,14203152,13.55
ML_Laplace.mtx,377002,377002,11782,27880888,27582698,334947696,319.43
dc1.mtx,116835,116835,3652,5053804,766396,60762528,57.95
thermomech_TK.mtx,102158,102158,3193,840866,711558,10192584,9.72
thermal1.mtx,82654,82654,2583,712690,574458,8634952,8.23
af23560.mtx,23560,23560,737,493080,460598,5940560,5.67
cage4.mtx,9,9,1,54,49,696,0.00
olm1000.mtx,1000,1000,32,6000,3996,73040,0.07
rdist2.mtx,3198,3198,100,181630,56834,2182776,2.08
nlpkkt80.mtx,1062400,1062400,33200,29074432,28192672,349955600,333.74
lung2.mtx,109460,109460,3421,815824,492564,9899376,9.44
amazon0302.mtx,262111,262111,8191,1310555,1234877,15988788,15.25
adder_dcop_32.mtx,1813,1813,57,47670,11246,573880,0.55
FEM_3D_thermal1.mtx,17880,17880,559,482760,430740,5811024,5.54
raefsky2.mtx,3242,3242,102,311760,293551,3744400,3.57
thermal2.mtx,1228045,1228045,38377,10586843,8580313,128270196,122.33
mhda416.mtx,416,416,13,13664,8562,164400,0.16
