matrix_name,rows,cols,nonzeros,time_serial,time_serial_hll,time_row_csr,time_warp_csr,time_warp_shared_csr, time_row_hll,time_warp_hll,time_warp_shared_hll,flops_serial,avg_flops_hll_serial,flops_row_csr,flops_warp_csr,flops_warp_csr_shared,flops_row_hll,flops_warp_hll,flops_warp_shared_hll
roadNet-PA.mtx,1090920,1090920,3083796,0.023612570930272,0.032528745122254,0.000195488001045,0.002381460168399,0.002572291516699,0.000209377600549,0.002393883846235,0.002647898560390,261199511.828374415636063,189604363.058584898710251,31549721553.348079681396484,2589836303.727281570434570,2397703355.145013332366943,29456789951.808910369873047,2576395680.058303833007812,2329240285.961666107177734
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.518065855503082,0.747652078866959,0.031866244673729,0.005402700798586,0.006467101792805,0.033189871832728,0.005534316180274,0.006935931504704,491080979.951758980751038,340281656.657135486602783,7983754929.545924186706543,47089834785.332649230957031,39339459336.027687072753906,7665359157.823717117309570,45969959018.027999877929688,36680334548.784622192382812
mcfe.mtx,765,765,24382,0.000111275520831,0.000258869760146,0.000022381759954,0.000007582400008,0.000007676479991,0.000053913919000,0.000007932800013,0.000008545919900,438227560.168113887310028,188372716.738009959459305,2178738405.704439163208008,6431209109.250686645507812,6352390686.880880355834961,904478860.080025315284729,6147135931.919467926025391,5706114797.598215103149414
mac_econ_fwd500.mtx,206500,206500,1273389,0.006702870400622,0.028071061763912,0.000109805439788,0.000462599679304,0.000498638395220,0.000564250560710,0.000474746559630,0.000522289603250,379953340.551457464694977,90726101.542553111910820,23193550382.533519744873047,5505360496.212871551513672,5107464696.688963890075684,4513558651.664325714111328,5364500170.331029891967773,4876179774.883363723754883
cant.mtx,62451,62451,4007383,0.016279818303883,0.026268191095442,0.000968345600995,0.000179227839835,0.000175519039767,0.001188444168074,0.000197967040440,0.000201285116927,492312988.412672340869904,305112977.550663292407990,8276761924.423135757446289,44718309428.761970520019531,45663228391.832344055175781,6743914619.891987800598145,40485355452.064804077148438,39817976223.687614440917969
west2021.mtx,2021,2021,7353,0.000041214400226,0.000132654079789,0.000010681919885,0.000009904000044,0.000010682559978,0.000011102400049,0.000009081279941,0.000009525119958,356817032.868535459041595,110859764.157909289002419,1376718807.010841846466064,1484854597.586183071136475,1376636314.756797313690186,1324578463.684582471847534,1619375252.812915325164795,1543917563.719802856445312
cavity10.mtx,2597,2597,76367,0.000340934720298,0.000890192001243,0.000036933440606,0.000009809600042,0.000010491200010,0.000066515198996,0.000010748480026,0.000011135999948,447986053.947762846946716,171574221.950671672821045,4135385100.716984748840332,15569849876.266227722167969,14558296463.572963714599609,2296227062.465111732482910,14209823121.422601699829102,13715337707.430046081542969
cop20k_A.mtx,121192,121192,2624331,0.013210413791239,0.020768570266664,0.000472852160456,0.000281388479052,0.000305516161316,0.000671791679924,0.000285378877015,0.000308368640253,397312459.923151731491089,252721392.595074951648712,11100006384.537149429321289,18652725291.670448303222656,17179654187.190284729003906,7812930938.041711807250977,18391907820.557647705078125,17020738541.014741897583008
PR02R.mtx,161070,161070,8185136,0.033627454601228,0.060406523793936,0.001780178560875,0.000372961601242,0.000397538236866,0.003243863056414,0.000413939518912,0.000482474560849,486812700.935207843780518,271001722.526589334011078,9195859538.916336059570312,43892647246.973320007324219,41179113056.005577087402344,5046536094.559349060058594,39547497284.189231872558594,33929813773.354354858398438
webbase-1M.mtx,1000005,1000005,3105536,0.017964229993522,0.061152763292193,0.000411994239257,0.002236888660118,0.002421354562975,0.001017001271248,0.002312056971714,0.029508762843907,345746631.068500518798828,101566497.826483130455017,15075628268.973939895629883,2776656751.289712905883789,2565122884.096562385559082,6107241136.856195449829102,2686383629.809868335723877,210482290.730209112167358
