matrix_name,rows,cols,nonzeros,time_serial,time_serial_hll,time_row_csr,time_warp_csr, time_row_hll,time_warp_hll, time_warp_shared_hll,flops_serial,avg_flops_hll_serial,flops_row_csr,flops_warp_csr, flops_row_hll,flops_warp_hll, flops_warp_shared_hll
roadNet-PA.mtx,1090920,1090920,3083796,0.023293080814183,0.034258626848459,0.000196461442101,0.001622403187212,0.000210672639660,0.001619387525134,0.003337878389284,264782149.222813814878464,180030333.010191380977631,31393396760.370113372802734,3801516200.544537067413330,29275714254.899353027343750,3808595474.693713665008545,1847758150.746459007263184
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.467810429930687,0.848887743949890,0.015732133947313,0.004336571497843,0.004152787188068,0.008293838016689,0.026984944120049,543836288.638743996620178,299700743.488432288169861,16171505331.192249298095703,58666688218.230323791503906,61263020828.755294799804688,30674856138.746952056884766,9427934587.086093902587891
mcfe.mtx,765,765,24382,0.000104703360266,0.000259661441669,0.000017073919880,0.000006135679987,0.000012997759950,0.000007916800005,0.000024469119962,465734813.820509672164917,187798387.340797603130341,2856051823.022706985473633,7947611365.562783241271973,3751723388.323223114013672,6159559414.250771522521973,1992879191.205973625183105
mac_econ_fwd500.mtx,206500,206500,1273389,0.005772993899882,0.029783169701695,0.000090123519767,0.000317200002028,0.000167443198734,0.000408099199994,0.000821682548849,441153765.995167076587677,85510643.276327356696129,28258749842.240375518798828,8028934374.905190467834473,15209802603.247978210449219,6240585622.403885841369629,3099467067.382359504699707
cant.mtx,62451,62451,4007383,0.015263381768018,0.028777522407472,0.000511915517272,0.000162458239938,0.000152385921683,0.000294441602309,0.001265584002249,525097656.719408631324768,278507853.682322323322296,15656423236.990406036376953,49334315101.851356506347656,52595186690.960395812988281,27220222744.143913269042969,6332859759.413645744323730
west2021.mtx,2021,2021,7353,0.000037855999835,0.000130254081450,0.000006874240016,0.000007964160041,0.000006136320044,0.000008879359975,0.000011591040075,388472106.508370995521545,112902412.241106241941452,2139291029.294434785842896,1846522411.053231954574585,2396550358.332280158996582,1656200451.494840145111084,1268738603.731726884841919
cavity10.mtx,2597,2597,76367,0.000308975363150,0.000916231039446,0.000014339840000,0.000010247040118,0.000013232000110,0.000016236160081,0.000036375040072,494324202.560232043266296,166698128.991980254650116,10651025395.285717010498047,14905182203.013765335083008,11542774994.476846694946289,9407027230.187723159790039,4198868226.608480453491211
cop20k_A.mtx,121192,121192,2624331,0.012976505625993,0.022796739824116,0.000260336001520,0.000207813759334,0.000112744959479,0.000283617918030,0.000783316477900,404474220.662802755832672,230237395.368593096733093,20161107066.845184326171875,25256566344.842319488525391,46553407125.842185974121094,18506101576.551929473876953,6700563754.344474792480469
PR02R.mtx,161070,161070,8185136,0.031254795491695,0.068447812795639,0.000905921279918,0.000384620799450,0.000361038720002,0.000699196790811,0.003035201900639,523768328.746533811092377,239164281.974587589502335,18070302975.413593292236328,42562107986.360816955566406,45342150559.062675476074219,23412967872.778285980224609,5393470528.782785415649414
webbase-1M.mtx,1000005,1000005,3105536,0.017844886220992,0.071315380483866,0.000432796159876,0.001506970878690,0.000663781116018,0.001731244151015,0.003475554571487,348058929.773039519786835,87093021.980092808604240,14351033063.199007034301758,4121560733.407975196838379,9357108616.254911422729492,3587634936.620085716247559,1787073651.771954298019409
