matrix_name,rows,cols,nonzeros,num_threads,time_serial,time_serial_hll,time_parallel,time_parallel_simd,time_parallel_hll,time_parallel_hll_simd,stddev_parallel_csr,stddev_parallel_hll,stddev_parallel_simd,stddev_parallel_simd_hll,min_value_csr,min_value_hll,min_value_csr_simd,min_value_hll_simd,error_csr,error_hll,error_csr_simd,error_hll_simd,flops_serial,flops_serial_hll,flops_parallel,flops_parallel_simd,flops_parallel_hll,flops_parallel_hll_simd,speedup_parallel,speedup_simd,speedup_hll,speedup_hll_simd,efficiency_parallel,efficiency_simd,efficiency_hll,efficiency_hll_simd
roadNet-PA.mtx,1090920,1090920,3083796,2,0.008866723131781,0.009834280624790,0.004918931532455,0.004770793153071,0.005012748772769,0.005403335323851,0.000061050049083,0.000042831276938,0.000070326551241,0.000665339588865,0.004824846051633,0.004931152798235,0.004707308951765,0.005226796958596,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,695588653.027159690856934,627152329.215939521789551,1253847905.649065971374512,1292781263.432004690170288,1230381229.856362581253052,1141441652.302248477935791,1.802570959420335,1.858542772090802,1.961853879095968,1.820038926952992,0.901285479710168,0.929271386045401,0.980926939547984,0.910019463476496
roadNet-PA.mtx,1090920,1090920,3083796,4,0.008866723131781,0.009834280624790,0.002674164201476,0.002497737609634,0.002743104247278,0.002868889252606,0.000480178434790,0.000048128189483,0.000060480313497,0.000033402198943,0.002491503953934,0.002680819947273,0.002439107745886,0.002811342012137,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,695588653.027159690856934,627152329.215939521789551,2306362487.612257480621338,2469271382.314284324645996,2248398691.416665077209473,2149818782.442424774169922,3.315698836625796,3.549901758126969,3.585091829647820,3.427905282804434,0.828924709156449,0.887475439531742,0.896272957411955,0.856976320701109
roadNet-PA.mtx,1090920,1090920,3083796,8,0.008866723131781,0.009834280624790,0.001620777755191,0.001562189869583,0.002095582247957,0.002092874535408,0.000047149263616,0.000095896585440,0.000115365677125,0.000018753994394,0.001566899940372,0.001995172817260,0.001473303884268,0.002056746743619,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,695588653.027159690856934,627152329.215939521789551,3805328633.271786212921143,3948042501.163897037506104,2943140029.943188667297363,2946947796.274033546447754,5.470659443208607,5.675829362630134,4.692863109705224,4.698934627187437,0.683832430401076,0.709478670328767,0.586607888713153,0.587366828398430
roadNet-PA.mtx,1090920,1090920,3083796,16,0.008866723131781,0.009834280624790,0.001476982770194,0.001299048666107,0.002051326813863,0.002059674282607,0.000106506621206,0.000027197008359,0.000028989273656,0.000015338793312,0.001280709169805,0.002004115842283,0.001257427968085,0.002027607988566,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,695588653.027159690856934,627152329.215939521789551,4175804975.160078048706055,4747775938.589709281921387,3006635489.928020954132080,2994450167.233545303344727,6.003267817821967,6.825551161491315,4.794107188738166,4.774677582681039,0.375204238613873,0.426596947593207,0.299631699296135,0.298417348917565
roadNet-PA.mtx,1090920,1090920,3083796,32,0.008866723131781,0.009834280624790,0.001427076551083,0.001212738449440,0.002212225258546,0.002193410459318,0.000063935811061,0.000044152338759,0.000068348157534,0.000678426591773,0.001249437686056,0.002014246769249,0.001122588291764,0.001192241907120,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,695588653.027159690856934,627152329.215939521789551,4321836831.612108230590820,5085673669.245835304260254,2787958403.500222206115723,2811873160.265067577362061,6.213207781357180,7.311323505800867,4.445424617948408,4.483556911572739,0.194162743167412,0.228478859556277,0.138919519310888,0.140111153486648
roadNet-PA.mtx,1090920,1090920,3083796,40,0.008866723131781,0.009834280624790,0.001217621368797,0.000993962541811,0.001324252946008,0.001272743195295,0.000590501608902,0.000020497870325,0.000032816393247,0.000518796672681,0.001095600891858,0.001299434807152,0.000925136730075,0.001110048033297,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,695588653.027159690856934,627152329.215939521789551,5065279041.622362136840820,6205054758.667298316955566,4657412330.923251152038574,4845904517.736462593078613,7.282003551349745,8.920580765173895,7.426285631029877,7.726838109323091,0.182050088783744,0.223014519129347,0.185657140775747,0.193170952733077
Cube_Coup_dt0.mtx,2164760,2164760,127206144,2,0.144247885847366,0.272863689256146,0.073500105307290,0.074671823251992,0.138455526717007,0.139979217201471,0.000467279890021,0.005431646899089,0.000448429331639,0.004763368550287,0.072968184016645,0.137346223928034,0.073905619326979,0.139068387448788,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1763715887.449488878250122,932378685.832306265830994,3461386714.159782409667969,3407072131.363975048065186,1837501860.940515995025635,1817500433.895310163497925,1.962553458179308,1.931757918386132,1.970767767283562,1.949315724943758,0.981276729089654,0.965878959193066,0.985383883641781,0.974657862471879
Cube_Coup_dt0.mtx,2164760,2164760,127206144,4,0.144247885847366,0.272863689256146,0.051335680303409,0.041693127297453,0.084550217808665,0.076101069265094,0.009801944260371,0.020708002467469,0.000259107256889,0.005149881639032,0.040529633872211,0.073525342624635,0.041170531883836,0.074432916939259,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1763715887.449488878250122,932378685.832306265830994,4955856949.715068817138672,6102019792.972946166992188,3009008073.470932006835938,3343084275.383406162261963,2.809895281309586,3.459752126969317,3.227238158908450,3.585543434424539,0.702473820327397,0.864938031742329,0.806809539727112,0.896385858606135
Cube_Coup_dt0.mtx,2164760,2164760,127206144,8,0.144247885847366,0.272863689256146,0.034253384819941,0.026529187738503,0.049019962010023,0.045908987904458,0.005225180329855,0.012599910924142,0.003002054557093,0.009785819950824,0.029089376796037,0.038633581716567,0.025587432086468,0.039164822082967,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1763715887.449488878250122,932378685.832306265830994,7427361977.140856742858887,9589901149.923158645629883,5189973177.620613098144531,5541666231.663910865783691,4.211200925270096,5.437327643394495,5.566379043711923,5.943578843951193,0.526400115658762,0.679665955424312,0.695797380463990,0.742947355493899
Cube_Coup_dt0.mtx,2164760,2164760,127206144,16,0.144247885847366,0.272863689256146,0.026997516431699,0.025918575856639,0.037221863949181,0.036053140069309,0.003264609478288,0.009319792973811,0.000124937631800,0.008517987339321,0.023596801795065,0.033082320820540,0.025653180200607,0.032547343056649,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1763715887.449488878250122,932378685.832306265830994,9423544148.723478317260742,9815828207.815546035766602,6835022779.819611549377441,7056591673.039142608642578,5.343005761744809,5.565424838356605,7.330736838667856,7.568375146563906,0.333937860109051,0.347839052397288,0.458171052416741,0.473023446660244
